district	huyện
pebble	đá cuội
wedding	lễ cưới
comment	bình luận
thought	nghĩ
disrespected	không tôn trọng
pool	hồ bơi
ngoc	ngọc
muck	vấy bẩn
class	lớp học
hundred	hàng trăm
stranger	người lạ
get	được
much	nhiều
level	cấp độ
learge	học hỏi
amazing	kinh ngạc
buffet	tiệc đứng
crony	nối khố
entrance	cổng vào
croissant	bánh sừng bò
is	là
ecspecially	đặc biệt
sea	biển
violin	đàn vi ô lông
flower	bông hoa
quiet	yên tĩnh
vertigo	chóng mặt
thankyou	cảm ơn bạn
grab	vồ lấy
englisch	tiếng anh
estuary	cửa sông
known	đã biết
shot	bắn
cod	cá tuyết
winter	mùa đông
hotel	khách sạn
friendlyim	thân thiện
mail	thư
canary	chim hoàng yến
excellences	xuất sắc
street	đường phố
linens	khăn trải giường
wonder	ngạc nhiên
smell	mùi
yeah	vâng
center	trung tâm
redecoration	trang trí lại
clouds	mây
conditonal	có điều kiện
cactus	cây xương rồng
hoziron	chân trời
hummorous	hài hước
windy	có gió
container	thùng đựng hàng
hotline	đường dây nóng
link	liên kết
market	thị trường
bond	liên kết
recieptionist	lễ tân
flamingo	chim hồng hạc
teansfer	chuyển khoản
lets	hãy
imperial	thành nội
complain	than phiền
impresion	sự ép buộc
resraurants	nhà hàng
jacuzzi	bể sục
resorted	nghỉ dưỡng
gorgeous	rực rỡ
okay	được chứ
shopaholics	người nghiện mua sắm
nice	đẹp
waitress	nữ phục vụ
sparklingly	lấp lánh
smashburger	bánh mì kẹp thịt
foodstreets	thực phẩm
mercury	thủy ngân
omelettes	trứng tráng
views	lượt xem
eight	tám
hilltop	đỉnh đồi
amenable	chịu trách nhiệm
off	tắt
go	đi
camera	máy ảnh
pacakaged	đóng gói
woody	thân gỗ
bar	quán ba
silver	bạc
decent	phong nhã
spy	gián điệp
omlets	ốp lết
that	cái đó
reception	tiếp nhận
ratats	chuột cống
coocking	nấu nướng
tram	xe điện
litters	lứa
exellent	tuyệt vời
mapping	lập bản đồ
brand	nhãn hiệu
station	ga tàu
hogging	cuốc đất
attendant	người phục vụ
cooking	nấu nướng
skyline	đường chân trời
checkin	đăng ký vào
comfortable	thoải mái
smelling	ngửi
gurgling	ọc ọc
experiences	kinh nghiệm
standard	tiêu chuẩn
later	một lát sau
cheap	rẻ
wolud	sẽ
spaciuos	rộng rãi
and	và
staff	nhân viên
best	tốt
stolen	ăn cắp
facelifting	đổi mới
hostel	nhà trọ
express	bày tỏ
shopping	mua sắm
intrepid	gan dạ
unsalty	không có muối
eatery	quán ăn
travel	du lịch
haiphong	hải phòng
supposed	được cho là
landscpaes	phong cảnh
muse	ngân nga
old	cũ
somerset	bộ quần áo
marvel	kỳ quan
all	tất cả
friendly	thân thiện
path	con đường
silkpath	con đường tơ lụa
golden	vàng
pubbar	quán rượu
could	có thể
cute	dễ thương
evergreen	thường xanh
classic	cổ điển
unity	thống nhất
quirky	kỳ quặc
lemongrass	cộng sả
sofa	ghế sô pha
posh	sang trọng
cheers	chúc mừng
nhon	nhơn
north	bắc
breakfast	bữa ăn sáng
conceirge	nhân viên hướng dẫn
thanks	cảm ơn
holidays	ngày lễ
living	cuộc sống
hostess	bà chủ
appaled	vỗ về
police	cảnh sát
frtont	trước mặt
dalat	đà lạt
perfect	hoàn hảo
decorated	trang trí
lullaby	hát ru
forit	cho nó
shark	cá mập
voted	bình chọn
bin	thùng rác
caprilicious	đáng yêu
are	là
taxi	xe tắc xi
support	ủng hộ
barefoot	chân trần
birding	tiếng chim
bathroom	phòng tắm
true	thật
threatened	bị đe dọa
stay	ở lại
beach	bờ biển
ownermanager	quản lý chủ sở hữu
kiem	kiêm
silk	lụa
many	nhiều
bangalow	nhà gỗ
with	với
bridge	cầu
windows	các cửa sổ
buding	chớm nở
pear	lê
impeccable	có thể
khen	khen ngợi
dirty	dơ bẩn
piano	đàn piano
corkscrew	đồ mở nắp chai
than	hơn
front	trước mặt
promo	quảng cáo
overlord	bá vương
bakery	cửa hàng bánh mì
firsly	đầu tiên
magical	huyền diệu
disappointed	thất vọng
hospitality	lòng hiếu khách
suite	thượng hạng
never	không bao giờ
zoom	thu phóng
beautiful	xinh đẹp
hosting	lưu trữ
melody	làn điệu
unforgottable	không thể nào quên
reccomendation	sự giới thiệu
duver	thợ lặn
